Time (UTC+0),Elevation (in ° normal),Azimuth (in ° N)
2021-12-22T09:12:34,0.0,279.75
2021-12-22T09:12:40,0.34,279.76
2021-12-22T09:12:55,1.31,279.77
2021-12-22T09:13:10,2.32,279.77
2021-12-22T09:13:25,3.4,279.77
2021-12-22T09:13:40,4.54,279.77
2021-12-22T09:13:55,5.75,279.76
2021-12-22T09:14:10,7.06,279.74
2021-12-22T09:14:25,8.47,279.71
2021-12-22T09:14:40,10.02,279.67
2021-12-22T09:14:55,11.72,279.62
2021-12-22T09:15:10,13.61,279.55
2021-12-22T09:15:25,15.73,279.45
2021-12-22T09:15:40,18.16,279.32
2021-12-22T09:15:55,20.97,279.16
2021-12-22T09:16:10,24.27,278.93
2021-12-22T09:16:25,28.23,278.62
2021-12-22T09:16:40,33.05,278.19
2021-12-22T09:16:55,39.03,277.54
2021-12-22T09:17:10,46.54,276.5
2021-12-22T09:17:25,56.0,274.62
2021-12-22T09:17:40,67.61,270.32
2021-12-22T09:17:55,80.67,252.46
2021-12-22T09:18:03,85.43,191.64
2021-12-22T09:18:10,82.01,136.44
2021-12-22T09:18:25,69.01,113.8
2021-12-22T09:18:40,57.18,108.98
2021-12-22T09:18:55,47.5,106.94
2021-12-22T09:19:10,39.81,105.84
2021-12-22T09:19:25,33.69,105.16
2021-12-22T09:19:40,28.76,104.71
2021-12-22T09:19:55,24.73,104.39
2021-12-22T09:20:10,21.36,104.15
2021-12-22T09:20:25,18.51,103.98
2021-12-22T09:20:40,16.05,103.85
2021-12-22T09:20:55,13.89,103.75
2021-12-22T09:21:10,11.98,103.67
2021-12-22T09:21:25,10.26,103.61
2021-12-22T09:21:40,8.7,103.57
2021-12-22T09:21:55,7.28,103.54
2021-12-22T09:22:10,5.96,103.51
2021-12-22T09:22:25,4.74,103.5
2021-12-22T09:22:40,3.59,103.49
2021-12-22T09:22:55,2.51,103.49
2021-12-22T09:23:10,1.49,103.49
2021-12-22T09:23:25,0.51,103.5
2021-12-22T09:23:33,-0.0,103.5
